                                     
Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 0.7552, 'grad_norm': 0.4758039116859436, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.7442, 'grad_norm': 0.5393692851066589, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.699, 'grad_norm': 0.39148658514022827, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 0.7141, 'grad_norm': 0.5102789998054504, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 0.6113, 'grad_norm': 0.4697991609573364, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 0.652, 'grad_norm': 0.3223329186439514, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.6136, 'grad_norm': 0.49082717299461365, 'learning_rate': 0.00019955654101995565, 'epoch': 0.05}
{'loss': 0.5881, 'grad_norm': 0.4310762584209442, 'learning_rate': 0.00019911308203991133, 'epoch': 0.05}
{'loss': 0.7232, 'grad_norm': 0.41593706607818604, 'learning_rate': 0.00019866962305986697, 'epoch': 0.06}
{'loss': 0.7094, 'grad_norm': 0.33889544010162354, 'learning_rate': 0.00019822616407982261, 'epoch': 0.07}
{'loss': 0.6054, 'grad_norm': 0.2621937394142151, 'learning_rate': 0.00019778270509977829, 'epoch': 0.07}
{'loss': 0.6425, 'grad_norm': 0.24065248668193817, 'learning_rate': 0.00019733924611973393, 'epoch': 0.08}
{'loss': 0.6561, 'grad_norm': 0.16047248244285583, 'learning_rate': 0.0001968957871396896, 'epoch': 0.09}
{'loss': 0.6344, 'grad_norm': 0.17266426980495453, 'learning_rate': 0.00019645232815964525, 'epoch': 0.09}
{'loss': 0.5586, 'grad_norm': 0.22089466452598572, 'learning_rate': 0.00019600886917960092, 'epoch': 0.1}
{'loss': 0.5766, 'grad_norm': 0.2289765328168869, 'learning_rate': 0.00019556541019955653, 'epoch': 0.11}
{'loss': 0.5723, 'grad_norm': 0.23817840218544006, 'learning_rate': 0.0001951219512195122, 'epoch': 0.11}
{'loss': 0.6661, 'grad_norm': 0.32759392261505127, 'learning_rate': 0.00019467849223946785, 'epoch': 0.12}
{'loss': 0.5376, 'grad_norm': 0.27086958289146423, 'learning_rate': 0.00019423503325942352, 'epoch': 0.13}
{'loss': 0.6773, 'grad_norm': 0.2315053790807724, 'learning_rate': 0.00019379157427937917, 'epoch': 0.13}
{'loss': 0.6733, 'grad_norm': 0.2173459827899933, 'learning_rate': 0.00019334811529933484, 'epoch': 0.14}
{'loss': 0.6259, 'grad_norm': 0.20527750253677368, 'learning_rate': 0.00019290465631929045, 'epoch': 0.15}
